iter	Passed	Remaining
533	13385	11681
534	13418	11662
535	13448	11641
536	13476	11619
537	13504	11596
538	13532	11574
539	13562	11553
540	13591	11531
541	13612	11502
542	13639	11478
543	13664	11453
544	13696	11434
545	13727	11414
546	13755	11391
547	13785	11370
548	13816	11349
549	13843	11326
550	13873	11305
551	13905	11285
552	13933	11262
553	13962	11240
554	13987	11215
555	14008	11186
556	14036	11164
557	14062	11139
558	14095	11119
559	14118	11093
560	14142	11066
561	14166	11040
562	14191	11015
563	14221	10993
564	14252	10973
565	14279	10949
566	14307	10926
567	14331	10899
568	14364	10880
569	14394	10859
570	14417	10832
571	14446	10809
572	14476	10787
573	14502	10763
574	14535	10743
575	14565	10721
576	14587	10694
577	14617	10672
578	14645	10648
579	14676	10627
580	14706	10605
581	14737	10584
582	14764	10560
583	14793	10538
584	14823	10515
585	14847	10489
586	14874	10465
587	14909	10446
588	14932	10419
589	14960	10396
590	14980	10366
591	15000	10338
592	15019	10308
593	15039	10279
594	15063	10253
595	15082	10224
596	15103	10195
597	15128	10169
598	15155	10145
599	15178	10118
600	15200	10091
601	15220	10062
602	15241	10034
603	15263	10007
604	15290	9983
605	15320	9960
606	15345	9935
607	15368	9908
608	15393	9883
609	15416	9856
610	15437	9828
611	15458	9800
612	15479	9772
613	15501	9744
614	15522	9717
615	15547	9691
616	15575	9668
617	15598	9642
618	15619	9613
619	15646	9589
620	15671	9564
621	15699	9540
622	15722	9514
623	15751	9491
624	15776	9465
625	15804	9442
626	15825	9414
627	15857	9393
628	15879	9366
629	15903	9340
630	15934	9318
631	15957	9291
632	15986	9268
633	16012	9244
634	16038	9219
635	16065	9194
636	16093	9171
637	16123	9148
638	16144	9120
639	16167	9094
640	16187	9066
641	16208	9038
642	16232	9012
643	16255	8985
644	16280	8960
645	16304	8934
646	16332	8910
647	16352	8882
648	16375	8856
649	16395	8828
650	16416	8800
651	16436	8772
652	16464	8748
653	16495	8727
654	16518	8700
655	16548	8677
656	16572	8652
657	16593	8624
658	16614	8597
659	16637	8570
660	16666	8547
661	16694	8524
662	16722	8499
663	16744	8473
664	16766	8446
665	16799	8424
666	16831	8402
667	16855	8377
668	16877	8350
669	16905	8326
670	16935	8303
671	16960	8278
672	16988	8254
673	17015	8229
674	17039	8204
675	17061	8177
676	17086	8151
